icd10_code,v28_hcc
A0104,HCC92
A0105,HCC92
A021,HCC2
A0223,HCC92
A0224,HCC92
A065,HCC283
A072,HCC6
A207,HCC2
A227,HCC2
A267,HCC2
A310,HCC6
A312,HCC6
A327,HCC2
A3681,HCC227
A392,HCC2
A393,HCC2
A394,HCC2
A3983,HCC92
A3984,HCC92
A400,HCC2
A401,HCC2
A403,HCC2
A408,HCC2
A409,HCC2
A4101,HCC2
A4102,HCC2
A411,HCC2
A412,HCC2
A413,HCC2
A414,HCC2
A4150,HCC2
A4151,HCC2
A4152,HCC2
A4153,HCC2
A4154,HCC2
A4159,HCC2
A4181,HCC2
A4189,HCC2
A419,HCC2
A427,HCC2
A480,HCC263
A481,HCC282
A483,HCC2
A5055,HCC92
A5440,HCC92
A5441,HCC92
A5442,HCC92
A5443,HCC92
A5449,HCC92
A5485,HCC78
A5486,HCC2
A666,HCC92
A6923,HCC92
A8100,HCC127
A8101,HCC127
A8109,HCC127
A811,HCC127
A812,HCC127
A8181,HCC127
A8182,HCC127
A8183,HCC127
A8189,HCC127
A819,HCC127
B007,HCC2
B0082,HCC182
B0112,HCC182
B0224,HCC182
B0682,HCC92
B180,HCC65
B181,HCC65
B182,HCC65
B188,HCC65
B189,HCC65
B20,HCC1
B250,HCC6
B251,HCC6
B252,HCC6
B258,HCC6
B259,HCC6
B2685,HCC92
B3324,HCC227
B371,HCC6
B377,HCC2
B377,HCC6
B3781,HCC6
B4282,HCC92
B440,HCC6
B441,HCC6
B442,HCC6
B447,HCC6
B4481,HCC280
B4489,HCC6
B449,HCC6
B450,HCC6
B451,HCC6
B452,HCC6
B453,HCC6
B457,HCC6
B458,HCC6
B459,HCC6
B460,HCC6
B461,HCC6
B462,HCC6
B463,HCC6
B464,HCC6
B465,HCC6
B468,HCC6
B469,HCC6
B484,HCC6
B488,HCC6
B582,HCC6
B583,HCC6
B59,HCC6
B9735,HCC1
C01,HCC21
C020,HCC21
C021,HCC21
C022,HCC21
C023,HCC21
C024,HCC21
C028,HCC21
C029,HCC21
C030,HCC21
C031,HCC21
C039,HCC21
C040,HCC21
C041,HCC21
C048,HCC21
C049,HCC21
C050,HCC21
C051,HCC21
C052,HCC21
C058,HCC21
C059,HCC21
C060,HCC21
C061,HCC21
C062,HCC21
C0680,HCC21
C0689,HCC21
C069,HCC21
C07,HCC21
C080,HCC21
C081,HCC21
C089,HCC21
C090,HCC21
C091,HCC21
C098,HCC21
C099,HCC21
C100,HCC21
C101,HCC21
C102,HCC21
C103,HCC21
C104,HCC21
C108,HCC21
C109,HCC21
C110,HCC21
C111,HCC21
C112,HCC21
C113,HCC21
C118,HCC21
C119,HCC21
C12,HCC21
C130,HCC21
C131,HCC21
C132,HCC21
C138,HCC21
C139,HCC21
C140,HCC21
C142,HCC21
C148,HCC21
C153,HCC20
C154,HCC20
C155,HCC20
C158,HCC20
C159,HCC20
C160,HCC20
C161,HCC20
C162,HCC20
C163,HCC20
C164,HCC20
C165,HCC20
C166,HCC20
C168,HCC20
C169,HCC20
C170,HCC20
C171,HCC20
C172,HCC20
C173,HCC20
C178,HCC20
C179,HCC20
C180,HCC22
C181,HCC22
C182,HCC22
C183,HCC22
C184,HCC22
C185,HCC22
C186,HCC22
C187,HCC22
C188,HCC22
C189,HCC22
C19,HCC22
C20,HCC22
C210,HCC22
C211,HCC22
C212,HCC22
C218,HCC22
C220,HCC20
C221,HCC20
C222,HCC20
C223,HCC20
C224,HCC20
C227,HCC20
C228,HCC20
C229,HCC20
C23,HCC20
C240,HCC20
C241,HCC20
C248,HCC20
C249,HCC20
C250,HCC20
C251,HCC20
C252,HCC20
C253,HCC20
C254,HCC20
C257,HCC20
C258,HCC20
C259,HCC20
C260,HCC22
C261,HCC22
C269,HCC22
C300,HCC21
C301,HCC21
C310,HCC21
C311,HCC21
C312,HCC21
C313,HCC21
C318,HCC21
C319,HCC21
C320,HCC21
C321,HCC21
C322,HCC21
C323,HCC21
C328,HCC21
C329,HCC21
C33,HCC20
C3400,HCC20
C3401,HCC20
C3402,HCC20
C3410,HCC20
C3411,HCC20
C3412,HCC20
C342,HCC20
C3430,HCC20
C3431,HCC20
C3432,HCC20
C3480,HCC20
C3481,HCC20
C3482,HCC20
C3490,HCC20
C3491,HCC20
C3492,HCC20
C37,HCC21
C380,HCC20
C381,HCC21
C382,HCC21
C383,HCC21
C384,HCC20
C388,HCC21
C390,HCC21
C399,HCC21
C4000,HCC21
C4001,HCC21
C4002,HCC21
C4010,HCC21
C4011,HCC21
C4012,HCC21
C4020,HCC21
C4021,HCC21
C4022,HCC21
C4030,HCC21
C4031,HCC21
C4032,HCC21
C4080,HCC21
C4081,HCC21
C4082,HCC21
C4090,HCC21
C4091,HCC21
C4092,HCC21
C410,HCC21
C411,HCC21
C412,HCC21
C413,HCC21
C414,HCC21
C419,HCC21
C430,HCC23
C4310,HCC23
C43111,HCC23
C43112,HCC23
C43121,HCC23
C43122,HCC23
C4320,HCC23
C4321,HCC23
C4322,HCC23
C4330,HCC23
C4331,HCC23
C4339,HCC23
C434,HCC23
C4351,HCC23
C4352,HCC23
C4359,HCC23
C4360,HCC23
C4361,HCC23
C4362,HCC23
C4370,HCC23
C4371,HCC23
C4372,HCC23
C438,HCC23
C439,HCC23
C450,HCC19
C451,HCC19
C452,HCC19
C457,HCC19
C459,HCC19
C460,HCC21
C461,HCC21
C462,HCC21
C463,HCC21
C464,HCC21
C4650,HCC21
C4651,HCC21
C4652,HCC21
C467,HCC21
C469,HCC21
C470,HCC21
C4710,HCC21
C4711,HCC21
C4712,HCC21
C4720,HCC21
C4721,HCC21
C4722,HCC21
C473,HCC21
C474,HCC23
C475,HCC21
C476,HCC21
C478,HCC21
C479,HCC21
C480,HCC20
C481,HCC20
C482,HCC20
C488,HCC20
C490,HCC21
C4910,HCC21
C4911,HCC21
C4912,HCC21
C4920,HCC21
C4921,HCC21
C4922,HCC21
C493,HCC21
C494,HCC23
C495,HCC21
C496,HCC21
C498,HCC21
C499,HCC21
C49A0,HCC23
C49A1,HCC23
C49A2,HCC23
C49A3,HCC23
C49A4,HCC23
C49A5,HCC23
C49A9,HCC23
C4A0,HCC21
C4A10,HCC21
C4A111,HCC21
C4A112,HCC21
C4A121,HCC21
C4A122,HCC21
C4A20,HCC21
C4A21,HCC21
C4A22,HCC21
C4A30,HCC21
C4A31,HCC21
C4A39,HCC21
C4A4,HCC21
C4A51,HCC21
C4A52,HCC21
C4A59,HCC21
C4A60,HCC21
C4A61,HCC21
C4A62,HCC21
C4A70,HCC21
C4A71,HCC21
C4A72,HCC21
C4A8,HCC21
C4A9,HCC21
C50011,HCC22
C50011,HCC23
C50012,HCC22
C50012,HCC23
C50019,HCC22
C50019,HCC23
C50021,HCC22
C50021,HCC23
C50022,HCC22
C50022,HCC23
C50029,HCC22
C50029,HCC23
C50111,HCC22
C50111,HCC23
C50112,HCC22
C50112,HCC23
C50119,HCC22
C50119,HCC23
C50121,HCC22
C50121,HCC23
C50122,HCC22
C50122,HCC23
C50129,HCC22
C50129,HCC23
C50211,HCC22
C50211,HCC23
C50212,HCC22
C50212,HCC23
C50219,HCC22
C50219,HCC23
C50221,HCC22
C50221,HCC23
C50222,HCC22
C50222,HCC23
C50229,HCC22
C50229,HCC23
C50311,HCC22
C50311,HCC23
C50312,HCC22
C50312,HCC23
C50319,HCC22
C50319,HCC23
C50321,HCC22
C50321,HCC23
C50322,HCC22
C50322,HCC23
C50329,HCC22
C50329,HCC23
C50411,HCC22
C50411,HCC23
C50412,HCC22
C50412,HCC23
C50419,HCC22
C50419,HCC23
C50421,HCC22
C50421,HCC23
C50422,HCC22
C50422,HCC23
C50429,HCC22
C50429,HCC23
C50511,HCC22
C50511,HCC23
C50512,HCC22
C50512,HCC23
C50519,HCC22
C50519,HCC23
C50521,HCC22
C50521,HCC23
C50522,HCC22
C50522,HCC23
C50529,HCC22
C50529,HCC23
C50611,HCC22
C50611,HCC23
C50612,HCC22
C50612,HCC23
C50619,HCC22
C50619,HCC23
C50621,HCC22
C50621,HCC23
C50622,HCC22
C50622,HCC23
C50629,HCC22
C50629,HCC23
C50811,HCC22
C50811,HCC23
C50812,HCC22
C50812,HCC23
C50819,HCC22
C50819,HCC23
C50821,HCC22
C50821,HCC23
C50822,HCC22
C50822,HCC23
C50829,HCC22
C50829,HCC23
C50911,HCC22
C50911,HCC23
C50912,HCC22
C50912,HCC23
C50919,HCC22
C50919,HCC23
C50921,HCC22
C50921,HCC23
C50922,HCC22
C50922,HCC23
C50929,HCC22
C50929,HCC23
C50A0,HCC22
C50A0,HCC23
C50A1,HCC22
C50A1,HCC23
C50A2,HCC22
C50A2,HCC23
C510,HCC22
C511,HCC22
C512,HCC22
C518,HCC22
C519,HCC22
C52,HCC22
C530,HCC22
C531,HCC22
C538,HCC22
C539,HCC22
C540,HCC23
C541,HCC23
C542,HCC23
C543,HCC23
C548,HCC23
C549,HCC23
C55,HCC23
C561,HCC22
C562,HCC22
C563,HCC22
C569,HCC22
C5700,HCC22
C5701,HCC22
C5702,HCC22
C5710,HCC22
C5711,HCC22
C5712,HCC22
C5720,HCC22
C5721,HCC22
C5722,HCC22
C573,HCC22
C574,HCC22
C577,HCC22
C578,HCC22
C579,HCC22
C58,HCC22
C600,HCC23
C601,HCC23
C602,HCC23
C608,HCC23
C609,HCC23
C61,HCC23
C6200,HCC23
C6201,HCC23
C6202,HCC23
C6210,HCC23
C6211,HCC23
C6212,HCC23
C6290,HCC23
C6291,HCC23
C6292,HCC23
C6300,HCC23
C6301,HCC23
C6302,HCC23
C6310,HCC23
C6311,HCC23
C6312,HCC23
C632,HCC23
C637,HCC23
C638,HCC23
C639,HCC23
C641,HCC22
C642,HCC22
C649,HCC22
C651,HCC22
C652,HCC22
C659,HCC22
C661,HCC22
C662,HCC22
C669,HCC22
C670,HCC22
C671,HCC22
C672,HCC22
C673,HCC22
C674,HCC22
C675,HCC22
C676,HCC22
C677,HCC22
C678,HCC22
C679,HCC22
C680,HCC22
C681,HCC22
C688,HCC22
C689,HCC22
C6900,HCC23
C6901,HCC23
C6902,HCC23
C6910,HCC23
C6911,HCC23
C6912,HCC23
C6920,HCC23
C6921,HCC23
C6922,HCC23
C6930,HCC23
C6931,HCC23
C6932,HCC23
C6940,HCC23
C6941,HCC23
C6942,HCC23
C6950,HCC23
C6951,HCC23
C6952,HCC23
C6960,HCC23
C6961,HCC23
C6962,HCC23
C6980,HCC23
C6981,HCC23
C6982,HCC23
C6990,HCC23
C6991,HCC23
C6992,HCC23
C700,HCC20
C701,HCC20
C709,HCC20
C710,HCC20
C711,HCC20
C712,HCC20
C713,HCC20
C714,HCC20
C715,HCC20
C716,HCC20
C717,HCC20
C718,HCC20
C719,HCC20
C720,HCC20
C721,HCC20
C7220,HCC20
C7221,HCC20
C7222,HCC20
C7230,HCC20
C7231,HCC20
C7232,HCC20
C7240,HCC20
C7241,HCC20
C7242,HCC20
C7250,HCC20
C7259,HCC20
C729,HCC20
C73,HCC23
C7400,HCC22
C7400,HCC22
C7401,HCC22
C7401,HCC22
C7402,HCC22
C7402,HCC22
C7410,HCC22
C7410,HCC22
C7411,HCC22
C7411,HCC22
C7412,HCC22
C7412,HCC22
C7490,HCC22
C7490,HCC22
C7491,HCC22
C7491,HCC22
C7492,HCC22
C7492,HCC22
C750,HCC23
C751,HCC20
C752,HCC20
C753,HCC20
C754,HCC23
C755,HCC23
C758,HCC23
C759,HCC23
C760,HCC23
C761,HCC23
C762,HCC23
C763,HCC23
C7640,HCC23
C7641,HCC23
C7642,HCC23
C7650,HCC23
C7651,HCC23
C7652,HCC23
C768,HCC23
C770,HCC18
C771,HCC17
C772,HCC18
C773,HCC20
C774,HCC18
C775,HCC18
C778,HCC17
C779,HCC18
C7800,HCC17
C7801,HCC17
C7802,HCC17
C781,HCC17
C782,HCC17
C7830,HCC17
C7839,HCC17
C784,HCC17
C785,HCC17
C786,HCC17
C787,HCC17
C7880,HCC17
C7889,HCC17
C7900,HCC17
C7901,HCC17
C7902,HCC17
C7910,HCC18
C7911,HCC18
C7919,HCC18
C792,HCC18
C7931,HCC17
C7932,HCC17
C7940,HCC17
C7949,HCC17
C7951,HCC18
C7952,HCC18
C7960,HCC18
C7961,HCC18
C7962,HCC18
C7963,HCC18
C7970,HCC17
C7971,HCC17
C7972,HCC17
C7981,HCC18
C7982,HCC18
C7989,HCC18
C799,HCC18
C7A00,HCC21
C7A010,HCC21
C7A011,HCC21
C7A012,HCC21
C7A019,HCC21
C7A020,HCC21
C7A021,HCC21
C7A022,HCC21
C7A023,HCC21
C7A024,HCC21
C7A025,HCC21
C7A026,HCC21
C7A029,HCC21
C7A090,HCC21
C7A091,HCC21
C7A092,HCC21
C7A093,HCC21
C7A094,HCC21
C7A095,HCC21
C7A096,HCC21
C7A098,HCC21
C7A1,HCC21
C7A8,HCC21
C7B00,HCC17
C7B01,HCC17
C7B02,HCC17
C7B03,HCC17
C7B04,HCC17
C7B09,HCC17
C7B1,HCC17
C7B8,HCC17
C800,HCC18
C801,HCC23
C802,HCC23
C8100,HCC21
C8101,HCC21
C8102,HCC21
C8103,HCC21
C8104,HCC21
C8105,HCC21
C8106,HCC21
C8107,HCC21
C8108,HCC21
C8109,HCC21
C810A,HCC21
C8110,HCC21
C8111,HCC21
C8112,HCC21
C8113,HCC21
C8114,HCC21
C8115,HCC21
C8116,HCC21
C8117,HCC21
C8118,HCC21
C8119,HCC21
C811A,HCC21
C8120,HCC21
C8121,HCC21
C8122,HCC21
C8123,HCC21
C8124,HCC21
C8125,HCC21
C8126,HCC21
C8127,HCC21
C8128,HCC21
C8129,HCC21
C812A,HCC21
C8130,HCC21
C8131,HCC21
C8132,HCC21
C8133,HCC21
C8134,HCC21
C8135,HCC21
C8136,HCC21
C8137,HCC21
C8138,HCC21
C8139,HCC21
C813A,HCC21
C8140,HCC21
C8141,HCC21
C8142,HCC21
C8143,HCC21
C8144,HCC21
C8145,HCC21
C8146,HCC21
C8147,HCC21
C8148,HCC21
C8149,HCC21
C814A,HCC21
C8170,HCC21
C8171,HCC21
C8172,HCC21
C8173,HCC21
C8174,HCC21
C8175,HCC21
C8176,HCC21
C8177,HCC21
C8178,HCC21
C8179,HCC21
C817A,HCC21
C8190,HCC21
C8191,HCC21
C8192,HCC21
C8193,HCC21
C8194,HCC21
C8195,HCC21
C8196,HCC21
C8197,HCC21
C8198,HCC21
C8199,HCC21
C819A,HCC21
C8200,HCC21
C8201,HCC21
C8202,HCC21
C8203,HCC21
C8204,HCC21
C8205,HCC21
C8206,HCC21
C8207,HCC21
C8208,HCC21
C8209,HCC21
C820A,HCC21
C8210,HCC21
C8211,HCC21
C8212,HCC21
C8213,HCC21
C8214,HCC21
C8215,HCC21
C8216,HCC21
C8217,HCC21
C8218,HCC21
C8219,HCC21
C821A,HCC21
C8220,HCC21
C8221,HCC21
C8222,HCC21
C8223,HCC21
C8224,HCC21
C8225,HCC21
C8226,HCC21
C8227,HCC21
C8228,HCC21
C8229,HCC21
C822A,HCC21
C8230,HCC21
C8231,HCC21
C8232,HCC21
C8233,HCC21
C8234,HCC21
C8235,HCC21
C8236,HCC21
C8237,HCC21
C8238,HCC21
C8239,HCC21
C823A,HCC21
C8240,HCC21
C8241,HCC21
C8242,HCC21
C8243,HCC21
C8244,HCC21
C8245,HCC21
C8246,HCC21
C8247,HCC21
C8248,HCC21
C8249,HCC21
C824A,HCC21
C8250,HCC21
C8251,HCC21
C8252,HCC21
C8253,HCC21
C8254,HCC21
C8255,HCC21
C8256,HCC21
C8257,HCC21
C8258,HCC21
C8259,HCC21
C825A,HCC21
C8260,HCC21
C8261,HCC21
C8262,HCC21
C8263,HCC21
C8264,HCC21
C8265,HCC21
C8266,HCC21
C8267,HCC21
C8268,HCC21
C8269,HCC21
C826A,HCC21
C8280,HCC21
C8281,HCC21
C8282,HCC21
C8283,HCC21
C8284,HCC21
C8285,HCC21
C8286,HCC21
C8287,HCC21
C8288,HCC21
C8289,HCC21
C828A,HCC21
C8290,HCC21
C8291,HCC21
C8292,HCC21
C8293,HCC21
C8294,HCC21
C8295,HCC21
C8296,HCC21
C8297,HCC21
C8298,HCC21
C8299,HCC21
C829A,HCC21
C8300,HCC21
C8301,HCC21
C8302,HCC21
C8303,HCC21
C8304,HCC21
C8305,HCC21
C8306,HCC21
C8307,HCC21
C8308,HCC21
C8309,HCC21
C830A,HCC21
C8310,HCC20
C8311,HCC20
C8312,HCC20
C8313,HCC20
