segment,factor_type,factor_key,coefficient
CND,demographic,F0_34,0.238
CPD,demographic,F0_34,0.454
CFD,demographic,F0_34,0.346
INS,demographic,F0_34,0.948
CND,demographic,F35_44,0.288
CPD,demographic,F35_44,0.42
CFD,demographic,F35_44,0.332
INS,demographic,F35_44,0.81
CND,demographic,F45_54,0.34
CPD,demographic,F45_54,0.404
CFD,demographic,F45_54,0.384
INS,demographic,F45_54,1.031
CND,demographic,F55_59,0.385
CPD,demographic,F55_59,0.424
CFD,demographic,F55_59,0.421
INS,demographic,F55_59,0.949
CND,demographic,F60_64,0.436
CPD,demographic,F60_64,0.414
CFD,demographic,F60_64,0.502
INS,demographic,F60_64,0.881
CNA,demographic,F65_69,0.33
CPA,demographic,F65_69,0.365
CFA,demographic,F65_69,0.435
INS,demographic,F65_69,1.188
CNA,demographic,F70_74,0.395
CPA,demographic,F70_74,0.423
CFA,demographic,F70_74,0.506
INS,demographic,F70_74,1.119
CNA,demographic,F75_79,0.465
CPA,demographic,F75_79,0.485
CFA,demographic,F75_79,0.596
INS,demographic,F75_79,0.965
CNA,demographic,F80_84,0.524
CPA,demographic,F80_84,0.544
CFA,demographic,F80_84,0.665
INS,demographic,F80_84,0.862
CNA,demographic,F85_89,0.624
CPA,demographic,F85_89,0.618
CFA,demographic,F85_89,0.775
INS,demographic,F85_89,0.75
CNA,demographic,F90_94,0.737
CPA,demographic,F90_94,0.738
CFA,demographic,F90_94,0.869
INS,demographic,F90_94,0.627
CNA,demographic,F95_GT,0.742
CPA,demographic,F95_GT,0.835
CFA,demographic,F95_GT,0.877
INS,demographic,F95_GT,0.481
CND,demographic,M0_34,0.106
CPD,demographic,M0_34,0.306
CFD,demographic,M0_34,0.191
INS,demographic,M0_34,0.826
CND,demographic,M35_44,0.154
CPD,demographic,M35_44,0.261
CFD,demographic,M35_44,0.204
INS,demographic,M35_44,0.719
CND,demographic,M45_54,0.215
CPD,demographic,M45_54,0.3
CFD,demographic,M45_54,0.293
INS,demographic,M45_54,0.991
CND,demographic,M55_59,0.283
CPD,demographic,M55_59,0.353
CFD,demographic,M55_59,0.41
INS,demographic,M55_59,0.989
CND,demographic,M60_64,0.345
CPD,demographic,M60_64,0.374
CFD,demographic,M60_64,0.504
INS,demographic,M60_64,0.917
CNA,demographic,M65_69,0.332
CPA,demographic,M65_69,0.375
CFA,demographic,M65_69,0.531
INS,demographic,M65_69,1.275
CNA,demographic,M70_74,0.396
CPA,demographic,M70_74,0.417
CFA,demographic,M70_74,0.626
INS,demographic,M70_74,1.224
CNA,demographic,M75_79,0.502
CPA,demographic,M75_79,0.498
CFA,demographic,M75_79,0.714
INS,demographic,M75_79,1.319
CNA,demographic,M80_84,0.571
CPA,demographic,M80_84,0.565
CFA,demographic,M80_84,0.789
INS,demographic,M80_84,1.238
CNA,demographic,M85_89,0.664
CPA,demographic,M85_89,0.615
CFA,demographic,M85_89,0.907
INS,demographic,M85_89,1.135
CNA,demographic,M90_94,0.8
CPA,demographic,M90_94,0.712
CFA,demographic,M90_94,0.993
INS,demographic,M90_94,0.946
CNA,demographic,M95_GT,0.896
CPA,demographic,M95_GT,0.904
CFA,demographic,M95_GT,1.058
INS,demographic,M95_GT,0.825
CNA,demographic_interaction,OriginallyDisabled_Female,0.228
CPA,demographic_interaction,OriginallyDisabled_Female,0.103
CFA,demographic_interaction,OriginallyDisabled_Female,0.16
CNA,demographic_interaction,OriginallyDisabled_Male,0.135
CPA,demographic_interaction,OriginallyDisabled_Male,0.075
CFA,demographic_interaction,OriginallyDisabled_Male,0.158
INS,demographic_interaction,ORIGDIS,0
INS,demographic_interaction,LTIMCAID,0.13
CNA,hcc,HCC1,0.301
CPA,hcc,HCC1,0.196
CFA,hcc,HCC1,0.397
CND,hcc,HCC1,0.213
CPD,hcc,HCC1,0.109
CFD,hcc,HCC1,0.237
INS,hcc,HCC1,1.322
CNA,hcc,HCC2,0.5
CPA,hcc,HCC2,0.447
CFA,hcc,HCC2,0.649
CND,hcc,HCC2,0.598
CPD,hcc,HCC2,0.591
CFD,hcc,HCC2,0.78
INS,hcc,HCC2,0.605
CNA,hcc,HCC6,0.381
CPA,hcc,HCC6,0.518
