model,metal_level,factor_type,factor_key,factor_label,coefficient
adult,platinum,demographic,"Age 21-24, Male","Age 21-24, Male",0.189
adult,gold,demographic,"Age 21-24, Male","Age 21-24, Male",0.130
adult,silver,demographic,"Age 21-24, Male","Age 21-24, Male",0.090
adult,bronze,demographic,"Age 21-24, Male","Age 21-24, Male",0.062
adult,catastrophic,demographic,"Age 21-24, Male","Age 21-24, Male",0.056
adult,platinum,demographic,"Age 25-29, Male","Age 25-29, Male",0.194
adult,gold,demographic,"Age 25-29, Male","Age 25-29, Male",0.130
adult,silver,demographic,"Age 25-29, Male","Age 25-29, Male",0.087
adult,bronze,demographic,"Age 25-29, Male","Age 25-29, Male",0.057
adult,catastrophic,demographic,"Age 25-29, Male","Age 25-29, Male",0.051
adult,platinum,demographic,"Age 30-34, Male","Age 30-34, Male",0.223
adult,gold,demographic,"Age 30-34, Male","Age 30-34, Male",0.155
adult,silver,demographic,"Age 30-34, Male","Age 30-34, Male",0.106
adult,bronze,demographic,"Age 30-34, Male","Age 30-34, Male",0.070
adult,catastrophic,demographic,"Age 30-34, Male","Age 30-34, Male",0.063
adult,platinum,demographic,"Age 35-39, Male","Age 35-39, Male",0.244
adult,gold,demographic,"Age 35-39, Male","Age 35-39, Male",0.171
adult,silver,demographic,"Age 35-39, Male","Age 35-39, Male",0.118
adult,bronze,demographic,"Age 35-39, Male","Age 35-39, Male",0.078
adult,catastrophic,demographic,"Age 35-39, Male","Age 35-39, Male",0.070
adult,platinum,demographic,"Age 40-44, Male","Age 40-44, Male",0.277
adult,gold,demographic,"Age 40-44, Male","Age 40-44, Male",0.200
adult,silver,demographic,"Age 40-44, Male","Age 40-44, Male",0.142
adult,bronze,demographic,"Age 40-44, Male","Age 40-44, Male",0.097
adult,catastrophic,demographic,"Age 40-44, Male","Age 40-44, Male",0.088
adult,platinum,demographic,"Age 45-49, Male","Age 45-49, Male",0.314
adult,gold,demographic,"Age 45-49, Male","Age 45-49, Male",0.233
adult,silver,demographic,"Age 45-49, Male","Age 45-49, Male",0.171
adult,bronze,demographic,"Age 45-49, Male","Age 45-49, Male",0.123
adult,catastrophic,demographic,"Age 45-49, Male","Age 45-49, Male",0.114
adult,platinum,demographic,"Age 50-54, Male","Age 50-54, Male",0.374
adult,gold,demographic,"Age 50-54, Male","Age 50-54, Male",0.286
adult,silver,demographic,"Age 50-54, Male","Age 50-54, Male",0.218
adult,bronze,demographic,"Age 50-54, Male","Age 50-54, Male",0.165
